,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
70,Quatre Cocos,-20.2078,57.7625,23.94,74,18,4.39,MU,1635735110
71,Kuah,6.3265,99.8432,30.99,74,20,1.54,MY,1635735110
72,Havre-St-Pierre,50.2334,-63.5986,11.33,93,90,6.69,CA,1635735110
73,Wawa,9.9022,4.4192,23.11,52,74,2.01,NG,1635735111
74,Bethanien,-26.502,17.1583,13.96,39,23,2.57,NA,1635735111
75,George Town,5.4112,100.3354,30.5,77,20,1.34,MY,1635735111
76,Hithadhoo,-0.6,73.0833,27.79,75,99,8.9,MV,1635735112
77,Kununurra,-15.7667,128.7333,31.99,51,64,3.6,AU,1635735031
78,Thompson,55.7435,-97.8558,-1.91,74,75,5.14,CA,1635735112
79,Cherskiy,68.75,161.3,-18.4,98,100,2.42,RU,1635734816
80,Vaini,-21.2,-175.2,27.09,83,75,4.63,TO,1635735113
81,Leningradskiy,69.3833,178.4167,-18.58,87,99,5.58,RU,1635734885
82,Oktyabr'skoye,43.0645,44.7417,4.08,100,100,1.0,RU,1635735113
83,Valdemārpils,57.3707,22.5919,6.68,87,43,3.04,LV,1635735113
84,Syedove,47.0768,38.156,8.33,90,0,6.95,UA,1635735114
85,Klaksvík,62.2266,-6.589,5.51,69,100,7.04,FO,1635735114
86,Avarua,-21.2078,-159.775,24.03,78,75,7.72,CK,1635735114
87,Poltavka,54.3663,71.7632,0.58,98,100,5.37,RU,1635735115
88,Alofi,-19.0595,-169.9187,27.94,57,27,8.23,NU,1635735115
89,Raseiniai,55.3736,23.1217,4.25,79,71,4.09,LT,1635735116
90,Kapaa,22.0752,-159.319,26.99,79,20,0.89,US,1635734835
91,Coquimbo,-29.9533,-71.3436,13.85,88,75,1.54,CL,1635735024
92,Yichun,47.7,128.9,4.4,21,0,0.48,CN,1635735116
93,Nikolskoye,59.7035,30.7861,8.9,91,97,2.52,RU,1635735116
94,Castro,-24.7911,-50.0119,14.51,96,98,3.64,BR,1635734887
95,Lorengau,-2.0226,147.2712,28.15,80,100,5.42,PG,1635735117
96,Aasiaat,68.7098,-52.8699,0.78,86,100,5.66,GL,1635735117
97,Chokurdakh,70.6333,147.9167,-22.1,98,92,3.19,RU,1635735117
98,Duartina,-22.4144,-49.4039,20.8,92,98,3.12,BR,1635735118
99,Shimoda,34.6667,138.95,20.2,69,90,4.04,JP,1635735118
100,Iqaluit,63.7506,-68.5145,-2.15,86,40,3.58,CA,1635735119
101,Laguna,38.421,-121.4238,17.08,77,1,2.06,US,1635735119
102,Port Shepstone,-30.7414,30.455,18.4,87,3,4.75,ZA,1635735119
103,Jamestown,42.097,-79.2353,10.77,93,90,5.81,US,1635734976
104,Bilibino,68.0546,166.4372,-30.17,100,99,0.66,RU,1635735120
105,Fortuna,40.5982,-124.1573,16.07,71,90,2.24,US,1635735120
106,Avera,33.194,-82.5271,14.93,81,0,2.89,US,1635735120
107,Taoudenni,22.6783,-3.9836,25.2,21,0,5.06,ML,1635735121
108,Kirakira,-10.4544,161.9205,30.23,64,89,6.84,SB,1635735121
109,Sirte,31.2089,16.5887,20.88,49,80,5.57,LY,1635735122
110,Tilichiki,60.4667,166.1,-18.75,90,14,5.07,RU,1635734871
111,Manavālakurichi,8.1333,77.3,26.05,87,100,0.58,IN,1635735122
112,Severnyy,50.677,36.5532,2.02,87,0,0.0,RU,1635735122
113,Yeniseysk,58.4497,92.1703,-4.14,78,100,5.55,RU,1635735123
114,Dikson,73.5069,80.5464,-14.64,93,94,4.74,RU,1635735123
115,Nicoya,10.1483,-85.452,24.75,92,97,0.42,CR,1635735124
116,La Ronge,55.1001,-105.2842,-0.86,69,90,3.6,CA,1635735124
117,Eureka,40.8021,-124.1637,16.22,71,100,0.45,US,1635734956
118,Ancud,-41.8697,-73.8203,12.74,91,0,4.16,CL,1635735124
119,São Filipe,14.8961,-24.4956,26.34,76,100,3.54,CV,1635735125
120,Saint-Pierre,-21.3393,55.4781,21.82,67,0,1.54,RE,1635734987
121,Izumo,35.3667,132.7667,19.97,64,75,4.63,JP,1635735125
122,Chapais,49.7834,-74.8492,3.88,98,100,2.08,CA,1635735126
123,Matamoros,25.5333,-103.25,22.66,20,4,2.13,MX,1635735126
124,Savinskiy,62.9342,40.1361,4.3,95,100,1.61,RU,1635735126
125,Lagoa,39.05,-27.9833,20.09,92,100,4.81,PT,1635735127
126,Cidreira,-30.1811,-50.2056,19.8,89,8,9.21,BR,1635735127
127,Lompoc,34.6391,-120.4579,15.31,85,1,2.57,US,1635735128
128,Qaqortoq,60.7167,-46.0333,-2.76,63,26,3.08,GL,1635735128
129,Nokaneng,-19.6667,22.2667,23.74,18,2,1.02,BW,1635735128
130,Strezhevoy,60.7333,77.5889,-20.01,93,55,2.7,RU,1635735129
131,Jaguariúna,-22.7056,-46.9858,20.43,92,100,1.74,BR,1635734977
132,Nuuk,64.1835,-51.7216,2.34,87,90,7.72,GL,1635734884
133,Abū Zabad,12.35,29.25,26.08,45,36,2.29,SD,1635735129
134,Port Macquarie,-31.4333,152.9167,21.98,49,99,5.2,AU,1635735054
135,Lahān,26.7296,86.4951,23.49,62,0,1.29,NP,1635735130
136,Mathathane,-22.2687,28.7495,18.85,73,0,5.55,BW,1635735130
137,Tuyen Quang,21.8233,105.2181,20.22,97,100,0.7,VN,1635735131
138,Ugra,54.7777,34.3267,2.3,88,0,2.25,RU,1635735131
139,Hobart,-42.8794,147.3294,19.45,51,75,1.79,AU,1635734918
140,Aykhal,66.0,111.5,-15.54,95,100,8.86,RU,1635734951
141,Boyolangu,-8.1181,111.8935,28.47,74,99,2.79,ID,1635735131
142,Tiksi,71.6872,128.8694,-12.9,86,100,4.45,RU,1635735132
143,Talakan,50.3167,130.3667,2.99,25,19,1.07,RU,1635735132
144,Yangcun,39.3639,117.0603,12.99,51,2,0.89,CN,1635735133
145,New Norfolk,-42.7826,147.0587,19.25,44,100,0.89,AU,1635735133
146,Tayoltita,24.0833,-105.9333,17.19,91,0,2.23,MX,1635735133
147,Olafsvik,64.8945,-23.7142,1.55,69,24,7.64,IS,1635735133
148,Tuktoyaktuk,69.4541,-133.0374,-3.0,86,75,5.14,CA,1635735134
149,Sūlam,32.6061,35.3341,20.13,57,100,2.63,IL,1635735134
150,Champerico,14.3,-91.9167,26.86,85,100,3.65,GT,1635735134
151,Mossamedes,-15.1961,12.1522,17.55,82,19,2.87,AO,1635735135
152,San Quintín,30.4833,-115.95,16.8,85,2,3.47,MX,1635735135
153,Assiniboia,49.6334,-105.9845,-2.05,74,0,3.09,CA,1635735135
154,Narsaq,60.9167,-46.05,-3.53,64,30,3.16,GL,1635735136
155,Maţāy,28.419,30.7792,21.99,38,62,2.0,EG,1635735136
156,Nome,64.5011,-165.4064,-6.96,79,1,0.0,US,1635735136
157,Imeni Poliny Osipenko,52.4201,136.4853,1.05,42,3,4.29,RU,1635735137
158,Upernavik,72.7868,-56.1549,-2.35,89,100,4.24,GL,1635735137
159,Pahrump,36.2083,-115.9839,22.01,32,76,1.79,US,1635735138
160,Lebu,-37.6167,-73.65,10.1,94,67,2.56,CL,1635735138
161,Filingué,14.3521,3.3168,28.69,16,100,2.92,NE,1635735138
162,Totskoye,52.5248,52.7623,4.91,87,14,4.11,RU,1635735139
163,Finschhafen,-6.6024,147.8681,29.39,69,100,4.79,PG,1635735139
164,Belmonte,-15.8631,-38.8828,25.28,86,37,3.42,BR,1635735139
165,Hualmay,-11.0964,-77.6139,18.09,81,7,3.73,PE,1635735140
166,Luba,3.4568,8.5547,23.94,84,99,2.51,GQ,1635735140
167,Port Alfred,-33.5906,26.891,19.39,76,92,5.72,ZA,1635735141
168,Madimba,-10.4,40.3333,26.3,70,93,4.55,TZ,1635735141
169,Koutsouras,35.0339,25.9469,18.39,74,76,4.58,GR,1635735141
170,Arraial do Cabo,-22.9661,-42.0278,20.94,95,100,10.13,BR,1635735142
171,Lakhipur,26.0299,90.3041,22.19,72,0,2.7,IN,1635735142
172,Cabo San Lucas,22.8909,-109.9124,26.45,79,13,2.68,MX,1635735082
173,Umm Kaddadah,13.6017,26.6876,26.86,21,39,5.28,SD,1635735142
174,Mosquera,4.7059,-74.2302,13.05,94,40,3.6,CO,1635735143
175,Sitka,57.0531,-135.33,9.94,43,75,4.12,US,1635735143
176,Mahébourg,-20.4081,57.7,24.03,94,40,2.57,MU,1635735143
177,Grindavik,63.8424,-22.4338,1.97,80,75,9.77,IS,1635735144
178,Pacific Grove,36.6177,-121.9166,15.42,82,96,0.89,US,1635734972
179,Concepción del Oro,24.6333,-101.4167,16.65,33,20,3.25,MX,1635735144
180,Zykovo,55.9519,93.1461,-0.59,79,100,7.45,RU,1635735144
181,Vestmannaeyjar,63.4427,-20.2734,3.29,69,16,11.66,IS,1635735145
182,Yar-Sale,66.8333,70.8333,-13.52,96,100,1.16,RU,1635735145
183,Barrow,71.2906,-156.7887,-5.99,86,1,6.69,US,1635735145
184,Comodoro Rivadavia,-45.8667,-67.5,8.92,76,0,6.17,AR,1635735146
185,Chengde,40.9725,117.9361,9.52,47,0,0.71,CN,1635735146
186,Svetlaya,46.5389,138.3297,5.01,82,100,2.4,RU,1635735146
187,Kulhudhuffushi,6.6221,73.07,27.51,77,100,6.11,MV,1635735147
188,Namatanai,-3.6667,152.4333,29.74,68,73,5.0,PG,1635735147
189,Esmeraldas,-19.7625,-44.3139,20.48,98,100,1.19,BR,1635735147
190,Port Blair,11.6667,92.75,28.84,73,62,3.36,IN,1635735148
191,Derzhavīnsk,51.1,66.3167,5.02,90,100,6.96,KZ,1635735148
192,San Cristobal,7.7669,-72.225,19.1,97,98,0.42,VE,1635734864
193,East London,-33.0153,27.9116,18.2,83,92,5.96,ZA,1635735149
194,Bethel,41.3712,-73.414,13.84,85,90,0.45,US,1635735149
195,Dingle,10.9995,122.6711,28.95,74,71,6.83,PH,1635735149
196,Tarakan,3.3,117.6333,30.72,66,40,3.6,ID,1635735150
197,Katsuura,35.1333,140.3,19.06,75,100,2.71,JP,1635735150
198,Morondava,-20.2833,44.2833,21.59,83,32,3.01,MG,1635735150
199,Ilulissat,69.2167,-51.1,0.01,93,75,6.17,GL,1635734914
200,Ajdabiya,30.7554,20.2263,19.01,80,100,1.03,LY,1635735151
201,Pilar,-9.5972,-35.9567,23.96,89,84,1.61,BR,1635735151
202,Shangzhi,45.2167,127.9667,6.65,42,98,2.68,CN,1635735151
203,Marsaxlokk,35.8419,14.5431,18.93,100,40,3.6,MT,1635735152
204,Santa Fe,-31.6333,-60.7,23.9,74,59,3.58,AR,1635734912
205,Havelock,34.8791,-76.9013,17.18,91,1,0.0,US,1635734975
206,Severo-Kuril'sk,50.6789,156.125,2.33,62,69,10.8,RU,1635735152
207,Christchurch,-43.5333,172.6333,16.29,66,39,2.68,NZ,1635735153
208,Pilot Butte,50.4668,-104.4178,-1.23,79,40,3.09,CA,1635735153
209,Murmashi,68.8154,32.8115,-4.77,100,40,2.0,RU,1635735153
210,Black River,18.0264,-77.8487,26.0,84,12,1.62,JM,1635735154
211,Yumen,40.2833,97.2,8.54,24,100,6.06,CN,1635735154
212,Narón,43.5167,-8.1528,13.47,76,43,4.79,ES,1635735154
213,Ayutla,20.1167,-104.3333,17.39,83,10,0.78,MX,1635735155
214,Maïné Soroa,13.2114,12.0241,26.54,18,98,3.63,NE,1635735155
215,Kromy,52.6876,35.7667,3.23,74,0,2.22,RU,1635735155
216,Samarai,-10.6167,150.6667,28.7,77,100,6.81,PG,1635735156
217,Dafeng,23.4517,108.5881,18.0,94,100,1.93,CN,1635735156
218,Shājāpur,23.4333,76.2667,21.13,46,2,2.02,IN,1635735156
219,Ivnya,51.0629,36.1343,1.95,78,0,3.11,RU,1635735157
220,Ribeira Grande,38.5167,-28.7,21.69,87,100,3.39,PT,1635735157
221,Galle,6.0367,80.217,26.79,84,100,5.25,LK,1635735157
222,São Paulo de Olivença,-3.3783,-68.8725,23.35,95,85,0.75,BR,1635735158
223,Kaniv,49.7518,31.46,3.98,85,0,2.61,UA,1635735158
224,Puerto Escondido,15.85,-97.0667,26.01,81,77,1.74,MX,1635734888
225,Fairbanks,64.8378,-147.7164,7.98,46,1,3.09,US,1635734902
226,Guerrero Negro,27.9769,-114.0611,17.74,84,0,4.78,MX,1635735159
227,Agadez,19.75,10.25,22.86,27,55,3.98,NE,1635735159
228,Aklavik,68.2191,-135.0107,0.46,89,100,3.15,CA,1635734879
229,Talnakh,69.4865,88.3972,-25.61,98,87,1.92,RU,1635735159
230,Zabul Province,32.25,67.25,8.45,36,0,1.1,AF,1635735160
231,Jinchang,38.4953,102.1739,9.02,35,98,1.87,CN,1635735160
232,Padang,-0.9492,100.3543,29.03,77,100,1.17,ID,1635735161
233,Nouadhibou,20.931,-17.0347,18.99,100,100,4.63,MR,1635734908
234,Fare,-16.7,-151.0167,26.14,72,75,6.89,PF,1635735161
235,Saint-Philippe,-21.3585,55.7679,21.77,84,66,4.51,RE,1635734909
236,Ossora,59.2353,163.0719,-11.57,79,11,5.41,RU,1635735162
237,Porto Santo,33.072,-16.3415,21.95,88,75,3.6,PT,1635735162
238,Pochutla,15.7432,-96.4661,24.34,93,53,1.8,MX,1635735162
239,Mehamn,71.0357,27.8492,-0.83,88,89,5.54,NO,1635735163
240,Tura,25.5198,90.2201,22.51,60,0,0.48,IN,1635735163
241,Tuatapere,-46.1333,167.6833,12.77,73,97,5.14,NZ,1635735163
242,Coahuayana Viejo,18.7333,-103.6833,24.49,85,21,1.28,MX,1635735164
243,Nouakchott,18.0858,-15.9785,27.96,48,100,6.92,MR,1635735129
244,Lodja,-3.4833,23.4333,19.41,94,100,0.72,CD,1635735164
245,Les Cayes,18.2,-73.75,24.6,84,0,1.99,HT,1635735165
246,Le Port,-20.9373,55.2919,22.16,86,2,0.56,RE,1635735165
247,Touros,-5.1989,-35.4608,27.5,78,55,6.14,BR,1635734878
248,Mmathubudukwane,-24.6,26.4333,20.48,67,0,3.61,BW,1635735165
249,Korla,41.7597,86.1469,10.4,25,11,1.61,CN,1635735166
250,Broome,42.2506,-75.833,11.48,78,20,0.45,US,1635735166
251,Niquero,20.0431,-77.5828,25.21,85,98,4.28,CU,1635735166
252,Bulgan,48.8125,103.5347,2.58,44,99,1.56,MN,1635735167
253,Bengkulu,-3.8004,102.2655,27.99,73,100,1.95,ID,1635735167
254,Poplar Bluff,36.757,-90.3929,10.9,87,1,0.0,US,1635735167
255,Cockburn Town,21.4612,-71.1419,27.78,68,98,4.0,TC,1635735168
256,Saldanha,-33.0117,17.9442,17.03,76,100,5.88,ZA,1635734898
257,Kysyl-Syr,63.8986,122.7617,-9.22,86,100,2.58,RU,1635735028
258,Izvestkovyy,48.9833,131.55,4.91,24,7,1.02,RU,1635735168
259,Praia,14.9215,-23.5087,25.3,94,75,6.17,CV,1635735169
260,Kawalu,-7.3817,108.2082,27.99,75,99,1.39,ID,1635735169
261,Bosaso,11.2842,49.1816,26.02,73,30,3.13,SO,1635735169
262,Vallenar,-28.5708,-70.7581,16.67,61,67,0.57,CL,1635735170
263,Montevideo,-34.8335,-56.1674,16.84,94,90,5.66,UY,1635735081
264,Khāsh,28.2211,61.2158,13.38,31,0,2.1,IR,1635735170
265,Thinadhoo,0.5333,72.9333,28.2,76,100,9.2,MV,1635735171
266,Vanimo,-2.6741,141.3028,26.8,85,98,2.25,PG,1635735171
267,Khanbari,27.3747,87.2039,18.44,74,47,0.56,NP,1635735171
268,Ndjolé,-0.1783,10.7649,23.1,99,100,0.36,GA,1635735172
269,Whitehorse,60.7161,-135.0538,1.43,59,75,8.05,CA,1635735172
270,Hambantota,6.1241,81.1185,28.19,89,20,1.03,LK,1635735172
271,Hammerfest,70.6634,23.6821,3.25,75,89,4.12,NO,1635734941
272,Anūpgarh,29.1911,73.2086,24.53,21,0,3.54,IN,1635735173
273,Camacha,33.0833,-16.3333,20.42,88,75,3.6,PT,1635734937
274,Bakel,14.905,-12.4568,28.79,24,67,2.16,SN,1635735173
275,Ozar,20.1,73.9333,22.16,43,15,2.86,IN,1635735174
276,Ilave,-16.0833,-69.6667,9.4,65,95,2.63,PE,1635735174
277,São Miguel do Araguaia,-13.275,-50.1628,24.5,75,100,3.32,BR,1635735174
278,Kahului,20.8947,-156.47,28.59,69,40,4.63,US,1635735175
279,Antofagasta,-23.65,-70.4,15.6,74,21,1.25,CL,1635735175
280,Huarmey,-10.0681,-78.1522,18.15,82,11,3.33,PE,1635735175
281,Sabha,27.0377,14.4283,18.47,27,0,0.82,LY,1635735176
282,Batagay,67.6333,134.6333,-15.17,83,100,2.49,RU,1635735176
283,Adrar,20.5022,-10.0711,27.78,22,69,3.63,MR,1635735176
284,Saint Paul Harbor,57.79,-152.4072,5.63,90,100,2.12,US,1635734899
285,Qui Nhon,13.7667,109.2333,27.5,79,91,3.89,VN,1635735177
286,Tanout,14.9709,8.8879,25.73,20,74,4.74,NE,1635735178
287,Niamey,13.5137,2.1098,27.16,28,0,0.51,NE,1635735178
288,Guaraniaçu,-25.1008,-52.8781,14.79,98,3,1.4,BR,1635735178
289,Normandin,48.8333,-72.5321,8.79,93,100,3.6,CA,1635735179
290,Abu Kamal,34.4506,40.9171,20.95,59,99,6.36,SY,1635735179
291,Lianzhou,24.7811,112.3825,17.41,94,100,1.46,CN,1635735179
292,Honningsvåg,70.9821,25.9704,1.94,86,73,7.51,NO,1635735180
293,Dakar,14.6937,-17.4441,26.49,77,99,7.37,SN,1635735111
294,Maków Mazowiecki,52.8649,21.1005,8.9,69,0,4.69,PL,1635735180
295,Sakakah,29.9697,40.2064,21.76,35,100,4.64,SA,1635735181
296,Bambous Virieux,-20.3428,57.7575,24.01,94,40,2.57,MU,1635735181
297,Kirovskiy,45.0917,133.5136,8.17,52,25,1.28,RU,1635735181
298,North Platte,41.1239,-100.7654,0.94,93,90,0.0,US,1635735182
299,Pedra Azul,-16.0053,-41.2972,18.42,95,47,2.13,BR,1635735128
300,Labuan,5.2767,115.2417,31.09,70,20,0.89,MY,1635735182
301,Tahe,52.3333,124.7333,3.62,28,60,1.37,CN,1635735183
302,Kruisfontein,-34.0033,24.7314,16.05,88,100,7.95,ZA,1635735183
303,Yulara,-25.2406,130.9889,26.91,44,0,3.09,AU,1635735184
304,Kamenka,51.3223,42.7678,3.75,67,0,2.33,RU,1635735184
305,Bafra,41.5678,35.9069,14.34,75,100,3.13,TR,1635735184
306,Nemuro,43.3236,145.575,13.24,76,29,6.56,JP,1635735185
307,Faanui,-16.4833,-151.75,26.07,74,72,7.45,PF,1635734933
308,Mazyr,52.0495,29.2456,2.8,76,0,3.06,BY,1635735185
309,Codrington,-38.2667,141.9667,17.56,66,0,4.89,AU,1635735185
310,Sioux Lookout,50.1001,-91.917,1.04,93,75,3.09,CA,1635735186
311,Colares,38.7992,-9.4469,19.82,87,94,2.68,PT,1635735186
312,Alekseyevsk,57.8406,108.3492,1.01,72,100,1.68,RU,1635735186
313,Jiaozuo,35.2397,113.2331,15.45,57,100,2.82,CN,1635735187
314,Vardø,70.3705,31.1107,2.88,76,98,8.27,NO,1635735187
315,Clyde River,70.4692,-68.5914,-6.57,88,100,3.19,CA,1635735187
316,Mtambile,-5.3833,39.7,24.7,86,9,4.25,TZ,1635735188
317,Husavik,66.0449,-17.3389,0.95,99,100,8.64,IS,1635735188
318,Abu Dhabi,24.4667,54.3667,27.01,89,0,0.0,AE,1635735154
319,Yabassi,4.457,9.9682,22.94,99,94,0.33,CM,1635735189
320,Oddur,4.1213,43.8894,21.51,81,2,6.01,SO,1635735189
321,Remontnoye,46.5614,43.6501,6.23,85,99,5.57,RU,1635735190
322,Sistranda,63.7256,8.834,9.39,69,100,15.03,NO,1635735190
323,Akdepe,42.0551,59.3788,1.05,43,0,2.95,TM,1635735190
324,Leshukonskoye,64.8989,45.7622,-6.78,94,92,2.64,RU,1635735191
325,Loa Janan,-0.583,117.095,32.58,54,77,1.78,ID,1635735191
326,Sibolga,1.7427,98.7792,27.75,74,100,0.68,ID,1635735026
327,Hobyo,5.3505,48.5268,26.64,71,4,5.19,SO,1635735191
328,Banfora,10.6333,-4.7667,25.07,61,42,1.39,BF,1635735192
329,St. George's,12.0564,-61.7485,25.82,89,40,2.57,GD,1635735192
330,Sobolevo,54.4299,31.8996,2.46,85,0,3.21,RU,1635735193
331,Marrakesh,31.6315,-8.0083,17.04,72,9,2.57,MA,1635735175
332,Bolshaya Martynovka,47.271,41.6679,5.8,92,6,4.06,RU,1635735193
333,Boa Vista,2.8197,-60.6733,27.99,78,40,2.57,BR,1635735193
334,La Asuncion,11.0333,-63.8628,26.85,89,79,4.63,VE,1635735194
335,Tingo María,-9.2895,-76.0088,22.01,88,50,0.7,PE,1635735194
336,Radeberg,51.1167,13.9167,9.92,82,0,6.69,DE,1635735194
337,Yatou,37.15,122.3833,13.12,53,0,6.99,CN,1635735195
338,Boddam,57.4667,-1.7833,6.88,83,17,6.64,GB,1635735195
339,Kollam,8.8833,76.6,25.93,85,100,1.87,IN,1635735195
340,Saint-Ambroise,48.5501,-71.3324,10.3,93,100,3.09,CA,1635735196
341,Atasū,48.6814,71.6433,3.86,78,100,6.57,KZ,1635735196
342,Flin Flon,54.7682,-101.865,-1.09,93,99,3.01,CA,1635735196
343,Qandala,11.472,49.8728,25.88,77,88,3.72,SO,1635735197
344,Impfondo,1.6381,18.0667,21.28,99,100,1.34,CG,1635735197
345,Taguisa,6.6983,124.0358,29.29,71,69,3.61,PH,1635735197
346,Talara,-4.5772,-81.2719,18.46,83,8,5.4,PE,1635735198
347,San Patricio,28.017,-97.5169,24.34,61,0,3.58,US,1635735198
348,Gorontalo,0.5412,123.0595,31.97,58,40,1.64,ID,1635735198
349,Plettenberg Bay,-34.0527,23.3716,16.62,89,86,5.33,ZA,1635735199
350,Barcelos,41.5388,-8.6151,14.08,90,100,2.7,PT,1635735199
351,Sinnamary,5.3833,-52.95,25.96,84,72,3.52,GF,1635735200
352,Port Elizabeth,-33.918,25.5701,17.28,94,40,6.17,ZA,1635735200
353,Departamento de Maldonado,-34.6667,-54.9167,16.66,96,100,2.61,UY,1635735200
354,Babylon,40.6957,-73.3257,15.68,71,2,1.79,US,1635735201
355,Progreso,21.2833,-89.6667,23.2,64,6,4.36,MX,1635735201
